lead_id,pet_id,pet_name,species,breed,weight_kg,age_years,coat_condition,notes
LEADXAJI0Y,PETZNBQH7,Milo,dog,German Shepherd,22,3.7,mild_shed,Anxious with dryers
LEADXTHV3A,PETGL58KX,Rocky,dog,Mixed,23.2,7,heavy_shed,
LEADJBQE7C,PET8G8JDP,Milo,dog,Husky,16.1,3.5,normal,"Senior dog, gentle handling"
LEADKWNNHJ,PETGBPS3Y,Bella,dog,German Shepherd,30.6,5.5,matted,
LEADKWNNHJ,PET87WXE6,Simba,dog,German Shepherd,14.2,5.1,matted,Good with baths
LEADY41IBL,PETKEP7Y6,Oreo,dog,Shih Tzu,14.3,3.1,heavy_shed,"Senior dog, gentle handling"
LEADJV6OH9,PETAKPUXQ,Daisy,dog,Mixed,19.9,0.2,mild_shed,Prefers early appointments
LEADT84AZY,PET62GDSW,Milo,dog,Poodle,4.2,2.9,mild_shed,Good with baths
LEADSDW4SH,PETHAIR4C,Rocky,dog,Mixed,9.9,4.6,mild_shed,"Senior dog, gentle handling"
LEAD8DRC11,PETIXA11D,Rocky,dog,Labrador,10.7,1.2,mild_shed,Prefers early appointments
LEAD2B551B,PET2E3C43,Milo,dog,germen shephered,4 kg,6 months,matted,
LEAD2B551B,PET5B715C,Milo,dog,germen shephered,4 kg,6 months,matted,SVC001
LEAD2B551B,PETEF4D7A,milo,dog,bull dog,4 kg,6 years,rough,full groom
LEAD2B551B,PETA11C6E,milo,dog,bull dog,4 kg,6 years,rough,full groom
